SaleID,DateKey,Year,ProductKey,CustomerKey,Quantity,NetPrice,TotalSale
1,20080101,2008,2492,18813,1,23.7405,23.7405
2,20080101,2008,1763,4751,1,94.7625,94.7625
3,20080101,2008,1763,4760,1,94.7625,94.7625
4,20080101,2008,1763,4764,1,94.7625,94.7625
5,20080101,2008,1763,4773,1,94.7625,94.7625
6,20080101,2008,1763,4774,1,94.7625,94.7625
7,20080101,2008,1763,4775,1,94.7625,94.7625
8,20080101,2008,1763,4776,1,94.7625,94.7625
9,20080101,2008,1763,4777,1,94.7625,94.7625
10,20080101,2008,1763,4778,1,94.7625,94.7625
11,20080101,2008,1763,4779,1,94.7625,94.7625
12,20080101,2008,1763,4781,1,94.7625,94.7625
13,20080101,2008,1763,4782,1,94.7625,94.7625
14,20080101,2008,1763,4783,1,94.7625,94.7625
15,20080101,2008,1763,4815,1,94.7625,94.7625
16,20080101,2008,2124,17160,1,422.75,422.75
17,20080101,2008,2124,17163,1,422.75,422.75
18,20080101,2008,2124,17165,1,422.75,422.75
19,20080101,2008,197,17599,1,284.905,284.905
20,20080101,2008,197,17600,1,284.905,284.905
21,20080101,2008,197,17602,1,284.905,284.905
22,20080101,2008,197,17604,1,284.905,284.905
23,20080101,2008,197,17605,1,284.905,284.905
24,20080101,2008,197,17607,1,284.905,284.905
25,20080101,2008,192,5963,1,569.05,569.05
26,20080101,2008,192,5964,1,569.05,569.05
27,20080101,2008,192,5966,1,569.05,569.05
28,20080101,2008,192,5967,1,569.05,569.05
29,20080101,2008,192,5968,1,569.05,569.05
30,20080101,2008,192,5969,1,569.05,569.05
31,20080101,2008,192,5971,1,569.05,569.05
32,20080101,2008,1776,15265,1,40.85,40.85
33,20080101,2008,1776,15266,1,40.85,40.85
34,20080101,2008,1776,15267,1,40.85,40.85
35,20080101,2008,1776,15269,1,40.85,40.85
36,20080101,2008,1776,15272,1,40.85,40.85
37,20080101,2008,1666,13528,1,16.0455,16.0455
38,20080101,2008,1666,13529,1,16.0455,16.0455
39,20080101,2008,1666,13530,1,16.0455,16.0455
40,20080101,2008,1666,13531,1,16.0455,16.0455
41,20080101,2008,1666,13999,1,16.0455,16.0455
42,20080101,2008,1666,14000,1,16.0455,16.0455
43,20080101,2008,1666,14155,1,16.0455,16.0455
44,20080101,2008,1666,14156,1,16.0455,16.0455
45,20080101,2008,1666,14162,1,16.0455,16.0455
46,20080101,2008,1666,14163,1,16.0455,16.0455
47,20080101,2008,1666,14170,1,16.0455,16.0455
48,20080101,2008,1666,14185,1,16.0455,16.0455
49,20080101,2008,1666,14186,1,16.0455,16.0455
50,20080101,2008,1666,14192,1,16.0455,16.0455
51,20080101,2008,1666,14966,1,16.0455,16.0455
52,20080101,2008,1666,14967,1,16.0455,16.0455
53,20080101,2008,1666,15058,1,16.0455,16.0455
54,20080101,2008,1666,15060,1,16.0455,16.0455
55,20080101,2008,1666,15061,1,16.0455,16.0455
56,20080101,2008,1666,15062,1,16.0455,16.0455
57,20080101,2008,1666,15066,1,16.0455,16.0455
58,20080101,2008,1666,15083,1,16.0455,16.0455
